Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Parker Jackson-Cartwright,New Zealand Breakers,21,641,145,298,0.487,27,82,0.329,118,216,0.546,0.532,80,99,0.808,21,56,77,140,34,3,48,50,397
Patrick D'Arcy,Adelaide 36ers,3,2,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,1,0,0,0,0,0
Pedro Bradshaw,Cairns Taipans,24,684,82,212,0.387,36,97,0.371,46,115,0.4,0.472,57,77,0.74,40,97,137,42,23,7,23,37,257
Reuben Te Rangi,Tasmania JackJumpers,29,477,56,127,0.441,16,48,0.333,40,79,0.506,0.504,19,30,0.633,28,61,89,23,14,2,20,62,147
Rob Edwards,Cairns Taipans,26,827,181,436,0.415,71,198,0.359,110,238,0.462,0.497,82,105,0.781,15,91,106,61,22,5,69,81,515
Rob Loe,Melbourne United,29,555,115,223,0.516,30,89,0.337,85,134,0.634,0.583,29,47,0.617,34,130,164,57,24,20,30,78,289
Rocco Zikarsky,Brisbane Bullets,18,213,33,63,0.524,1,5,0.2,32,58,0.552,0.532,16,28,0.571,29,33,62,5,6,11,11,22,83
Sam McDaniel,Brisbane Bullets,1,14,1,1,1,0,0,,1,1,1,1,4,4,1,1,3,4,1,2,0,0,0,6
Sam Mennenga,New Zealand Breakers,29,647,136,269,0.506,24,82,0.293,112,187,0.599,0.55,49,75,0.653,46,111,157,30,8,7,45,51,345
Sam Waardenburg,Cairns Taipans,26,784,130,259,0.502,39,110,0.355,91,149,0.611,0.577,78,106,0.736,30,136,166,88,22,25,59,55,377
Samson Froling,Illawarra Hawks,29,717,186,337,0.552,0,1,0,186,336,0.554,0.552,52,84,0.619,92,121,213,56,18,19,36,56,424
Sean Bairstow,New Zealand Breakers,26,420,42,107,0.393,8,38,0.211,34,69,0.493,0.43,6,13,0.462,15,31,46,30,3,7,15,34,98
Sean MacDonald,Tasmania JackJumpers,9,247,37,78,0.474,19,42,0.452,18,36,0.5,0.596,8,12,0.667,2,24,26,34,5,1,20,19,101
